name,ingredients,preparation_time,cooking_time,total_time,image_url,source
Easy Moroccan Chicken Tagine,"1 tablespoon olive oil 2  skinless, boneless chicken breast halves - cut into chunks ½ medium onion, chopped 3 cloves garlic, minced 1 small butternut squash, peeled and chopped 1 (15.5 ounce) can chickpeas, drained and rinsed 1 (14.5 ounce) can diced tomatoes, undrained 1 (14 ounce) can vegetable broth 1 medium carrot, peeled and chopped 1 tablespoon sugar 1 tablespoon lemon juice 1 teaspoon salt 1 teaspoon ground coriander 1 pinch cayenne pepper",97,72,169,https://www.allrecipes.com/thmb/FJpT2uC8FAgenWDUIF8rLGqKYJg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3918270-4a420b15b6a2406bbf82a3b9f900ad45.jpg,https://www.allrecipes.com/recipe/69633/stovetop-moroccan-tagine/
Spicy Chickpea Tagine,"1 tablespoon olive oil 2  onions, minced 4 cloves garlic, minced 2 teaspoons ground turmeric 2 teaspoons ground cumin 1 teaspoon ground cinnamon ½ teaspoon cayenne pepper ½ teaspoon ground black pepper 1 ½ teaspoons agave nectar 2 tablespoons water, or as needed 3  carrots, cut into 1/4-inch slices ¼ teaspoon salt 2 (14 ounce) cans chickpeas (garbanzo beans), drained and rinsed 4  lemon wedges 4 sprigs fresh cilantro, or as desired",31,15,46,https://www.allrecipes.com/thmb/IRwDQD0OOOTWRBJ8oqO8fiT5Gus=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3119325-58b23fe40dfd46c7ad1e68fa5e49e548.jpg,https://www.allrecipes.com/recipe/245152/spicy-chickpea-tagine/
Moroccan Chicken and Whole Grain Couscous,"1 cup whole wheat couscous 1 tablespoon vegetable oil 1 medium onion, chopped 2  bay leaves 5  whole cloves, crushed ½ teaspoon cinnamon 1 teaspoon ground dried turmeric ¼ teaspoon ground cayenne pepper 6  skinless, boneless chicken breast halves - chopped 1 (16 ounce) can garbanzo beans 1 (16 ounce) can crushed tomatoes 1 (48 fluid ounce) can chicken broth 2  carrots, cut into 1/2 inch pieces 1  zucchini, cut into 1/2-inch pieces salt to taste",59,71,130,https://www.allrecipes.com/thmb/8FmT0JP_T2MqGJgwoAOjc9VU3nk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/24579-66087008374844e2946075a0f4070688.jpg,https://www.allrecipes.com/recipe/83565/moroccan-chicken-and-whole-grain-couscous/
Moroccan Couscous,"1 ¼ teaspoons ground cumin ½ teaspoon ground ginger ¼ teaspoon ground cloves ⅛ teaspoon ground cayenne pepper ½ teaspoon ground cardamom ¼ teaspoon ground coriander ¼ teaspoon ground allspice 1 tablespoon olive oil 1  red onion, cut in half and thinly sliced 1 red, green, or yellow bell pepper, cut into 1-inch pieces 2 zucchinis, halved lengthwise and cut into ¾-inch pieces ½ cup golden raisins 1 teaspoon kosher salt grated zest of one orange 1 (14.5 ounce) can low-sodium chickpeas, rinsed and drained 1 ½ cups chicken broth ½ cup orange juice 1 ½ cups couscous  3 tablespoons chopped fresh mint",83,13,96,https://www.allrecipes.com/thmb/liN5GLz3IwFnBn-x4us-DG86KGk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9249075-moroccan-couscous-Deb-Knisley-4x3-1-ea884bab1d6944739e751adedcb6a90d.jpg,https://www.allrecipes.com/recipe/105045/moroccan-couscous/
Cold Roasted Moroccan Spiced Salmon,"¾ teaspoon ground cinnamon ¾ teaspoon ground cumin ½ teaspoon salt ½ teaspoon ground ginger ¼ teaspoon mustard powder ¼ teaspoon ground nutmeg ⅛ teaspoon cayenne pepper ⅛ teaspoon ground allspice 2 teaspoons white sugar 2 pounds (1-inch thick) boneless, skin-on center-cut salmon fillets 1 tablespoon fresh lime juice",6,42,48,https://www.allrecipes.com/thmb/5Iq7WXw6_SLnq_9wqerSAedGxHU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/110025cold-roasted-moroccan-spiced-salmonFranceC4x3-390c21b0f11442748d3b587f109b07f4.jpg,https://www.allrecipes.com/recipe/110025/cold-roasted-moroccan-spiced-salmon/
Moroccan Ksra,⅞ cup water 2 ¼ cups bread flour ¾ cup semolina flour 1 teaspoon anise seed 1 ½ teaspoons salt ½ teaspoon white sugar 2 teaspoons active dry yeast 1 tablespoon olive oil 1 tablespoon sesame seeds (Optional),62,74,136,https://www.allrecipes.com/thmb/1hl7EyE_ANGKvSMiR8qacvRC72k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/348360-3e2006e954a64b4086b81dcf967b67d9.jpg,https://www.allrecipes.com/recipe/38117/moroccan-ksra/
Lamb Tagine,"2 pounds lamb meat, cut into 1 ½ inch cubes 3 tablespoons olive oil, divided 2 teaspoons paprika 1 teaspoon ground cinnamon 1 teaspoon kosher salt ¾ teaspoon garlic powder ¾ teaspoon ground coriander ½ teaspoon ground cumin ½ teaspoon ground cardamom ½ teaspoon ground ginger ¼ teaspoon ground turmeric ¼ teaspoon cayenne pepper ¼ teaspoon ground cloves 1 pinch saffron 2 medium onions, cut into 1-inch cubes 5  carrots, peeled, cut into fourths, then sliced lengthwise into thin strips 3 cloves garlic, minced 1 tablespoon freshly grated ginger 1  lemon, zested 1 (14.5 ounce) can homemade chicken broth or low-sodium canned broth 1 tablespoon sun-dried tomato paste 1 tablespoon honey 1 tablespoon cornstarch (Optional) 1 tablespoon water (Optional)",93,15,108,,https://www.allrecipes.com/recipe/105044/lamb-tagine/
Olive Chicken I,"1 (2 to 3 pound) whole chicken, cut into pieces 2 tablespoons vegetable oil 2  onions, chopped salt to taste ground black pepper to taste ½ teaspoon ground ginger ½ teaspoon paprika 1 pound pitted green olives 1  lemon, juiced 2 cups water",36,92,128,https://www.allrecipes.com/thmb/soCf7m75bR0feeFN8vRd-JqpmAA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3894934-b4e4165d2e434acc8b0b2b5b66b174b7.jpg,https://www.allrecipes.com/recipe/8573/olive-chicken-i/
Make-Ahead Moroccan Lamb Stew,"1 teaspoon ground cinnamon 1 teaspoon ground cumin 1 teaspoon kosher salt ½ teaspoon ground ginger ¼ teaspoon ground cloves ¼ teaspoon ground nutmeg ¼ teaspoon ground turmeric ⅛ teaspoon curry powder 1 pound ground lamb 1 tablespoon butter 1  sweet onion, chopped 2 (14.5 ounce) cans beef consomme 1 (15 ounce) can garbanzo beans, drained and rinsed 1 (14.5 ounce) can organic beef broth 1 (14.5 ounce) can organic chicken broth 1 (14.5 ounce) can diced tomatoes, undrained 2 medium sweet potatoes, peeled and diced 3 large carrots, chopped 1 cup dried lentils, rinsed ½ cup chopped dried apricots 1 tablespoon honey ground black pepper, to taste",89,35,124,https://www.allrecipes.com/thmb/SsK17AL9pcI2Or9IOCBpAw07MO4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/217108-make-ahead-moroccan-lamb-stew-mfs_218-b659c2dd0cf64a0b83ee32eedf459390.jpg,https://www.allrecipes.com/recipe/217108/make-ahead-moroccan-lamb-stew/
Moroccan Chicken,"1 tbsp olive oil 1 pound skinless, boneless chicken breast meat - cubed 1 teaspoon salt 1  onion, chopped 2  carrots, sliced 2 stalks celery, sliced 2 cloves garlic, chopped 1 tablespoon minced fresh ginger root ¾ teaspoon ground cumin ½ teaspoon paprika ½ teaspoon dried oregano ¼ teaspoon ground cayenne pepper ¼ teaspoon ground turmeric 1 ½ cups chicken broth 1 cup crushed tomatoes 1 cup canned chickpeas, drained 1  zucchini, sliced 1 tablespoon lemon juice",48,4,52,https://www.allrecipes.com/thmb/KNUl1MomhRM3i8RInNehcpJDvcg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/242569-3beac386a59741f9b0318ba0d7396a2e.jpg,https://www.allrecipes.com/recipe/18182/moroccan-chicken/
Moroccan Chickpea Stew,"1 tablespoon olive oil 1 small onion, chopped 2 cloves garlic, minced 2 teaspoons ground cumin 2 teaspoons ground coriander ½ teaspoon cayenne pepper, or to taste 1 teaspoon garam masala ½ teaspoon curry powder 1 pinch salt 3  potatoes, cut into 1/2-inch cubes 1 (14.5 ounce) can diced tomatoes, undrained 1 cup tomato sauce 1 cup golden raisins water, or enough to cover 1 (14.5 ounce) can chickpeas, drained and rinsed 1 bunch kale, ribs removed, chopped ½ cup chopped fresh cilantro",54,31,85,https://www.allrecipes.com/thmb/HDTU7uEGCCXCLHVsCxmRn3N2mOA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8791393-d017638a32aa4a0e82c9c807257aff31.jpg,https://www.allrecipes.com/recipe/217947/moroccan-chickpea-stew/
Moroccan Chicken Tagine with Caramelized Pears,"7 tablespoons olive oil, divided 2  onions, peeled and sliced 1  whole chicken, cut into pieces 1 teaspoon ground turmeric 1 teaspoon ground cumin 1 teaspoon ground coriander 1 teaspoon salt 3  cinnamon sticks 2  bay leaves, crushed 1 bunch fresh cilantro, chopped 2 tablespoons fresh ginger root, peeled and minced ½ cup water 2 tablespoons butter 2  pears, cored and sliced 2 tablespoons honey",48,17,65,,https://www.allrecipes.com/recipe/262055/moroccan-chicken-tagine-with-caramelized-pears/
Moroccan Sweet Potato Stew,"3 cups peeled and cubed sweet potatoes 3 cups vegetable broth, divided 2 teaspoons olive oil 1 cup chopped onion 1 stalk celery, chopped ½ cup chopped red bell pepper 1 clove garlic, minced, or more to taste 1 (15 ounce) can chickpeas, drained and rinsed 1 (14.5 ounce) can diced tomatoes, drained 1 tablespoon lemon juice 2 teaspoons fresh grated ginger 1 teaspoon ground cumin 1 teaspoon curry powder 1 teaspoon ground coriander 1 teaspoon chili powder ½ teaspoon salt ¼ teaspoon pepper ½ cup raisins 2 tablespoons peanut butter",87,23,110,https://www.allrecipes.com/thmb/BMrM_10ybsyf6-3lpz7s0mJW6SE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5934099-129801b44c5d4dad91f5c5bb61a6963f.jpg,https://www.allrecipes.com/recipe/268687/moroccan-sweet-potato-stew/
Moroccan-Spiced Roasted Carrots,"2 pounds carrots, cut into thick slices ¼ cup olive oil 2 tablespoons lemon juice 2 teaspoons white sugar 1 teaspoon ground cumin ½ teaspoon ground cinnamon ½ teaspoon garlic powder ⅛ teaspoon cayenne pepper, or to taste aluminum foil",60,51,111,https://www.allrecipes.com/thmb/ZLBOten-_T5GICzLhNX7QFyyhlk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7790862-a4fc40ae4acb483d94f9b5b6aaf24a95.jpg,https://www.allrecipes.com/recipe/278849/moroccan-spiced-roasted-carrots/
Citrons Confits Express (Quick Preserved Lemons),"2  lemons, sliced into thin wedges ¼ cup water 2 tablespoons water 1  lemon, juiced 1 tablespoon salt",79,20,99,https://www.allrecipes.com/thmb/WwNHPMLKYfX0NJijU4C85oxsw6A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7964516-4ae4f8705533470aa86756cccc842533.jpg,https://www.allrecipes.com/recipe/257169/citrons-confits-express-quick-preserved-lemons/
Sweet and Nutty Moroccan Couscous,"2 cups vegetable broth 5 tablespoons unsalted butter ⅓ cup chopped dates ⅓ cup chopped dried apricots ⅓ cup golden raisins 2 cups dry couscous 3 teaspoons ground cinnamon ½ cup slivered almonds, toasted",67,82,149,https://www.allrecipes.com/thmb/-GHB4Lpr1xPzE798b8_ARiHo-9o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/924886-5fc2561264ed4ad49c5c4b1524e1e8af.jpg,https://www.allrecipes.com/recipe/81551/sweet-and-nutty-moroccan-couscous/
Cornes de Gazelle (Gazelle Horns),"2 ¼ cups almonds ¾ cup white sugar 1 tablespoon white sugar ¼ teaspoon ground cinnamon 1  egg 1 tablespoon orange blossom water 2 cups all-purpose flour ½ cup softened, unsalted butter, diced 1 tablespoon unsalted butter 1 pinch salt 1  egg, beaten 3 tablespoons vegetable oil 1 ½ tablespoons orange blossom water 6 tablespoons honey 1 tablespoon orange blossom water 3 tablespoons crushed pistachios, or to taste",18,58,76,https://www.allrecipes.com/thmb/3m9JloU25vCmHhZYczR1mOj9WL4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4775615-b68712738cad411ba95fc50e8379f58f.jpg,https://www.allrecipes.com/recipe/262056/cornes-de-gazelle-gazelle-horns/
Beghrir (Moroccan Pancakes),"1 cup warm water (115 degrees F/46 degrees C) ½ teaspoon active dry yeast ½ teaspoon white sugar 1 cup milk 1 cup all-purpose flour 1 cup semolina flour 2  eggs 2 teaspoons baking powder 1 teaspoon salt 6 tablespoons butter ¾ cup honey 1 teaspoon orange-flower water, or to taste (Optional)",46,86,132,https://www.allrecipes.com/thmb/RtY8nzVk41uUA87QkO5BTnzJwYI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2183850-8877c09ec4e24c009ad4e01089fdab78.jpg,https://www.allrecipes.com/recipe/206740/beghrir-moroccan-pancakes/
Moroccan Shrimp Stew,"2 tablespoons grapeseed oil, or more as needed 1 medium yellow onion, chopped 2 medium carrots, sliced 1 medium red bell pepper, cut into bite-sized pieces 1 medium green bell pepper, cut into bite-sized pieces 4 cloves garlic, chopped 2 tablespoons harissa paste 1 (14.5 ounce) can fire-roasted diced tomatoes, undrained 1 (6 ounce) can tomato paste 2 cups shrimp stock, or more as needed 1 (15 ounce) can garbanzo beans, rinsed and drained 1 pound uncooked medium shrimp, peeled and deveined 2 teaspoons sea salt",114,40,154,https://www.allrecipes.com/thmb/Eoh8YDIIHjSZtz7uL59nYLgP6Ng=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9406065-d4615a6d410f490b9106c1bad0c14e93.jpg,https://www.allrecipes.com/recipe/285649/moroccan-shrimp-stew/
Ras el Hanout,1 teaspoon salt 1 teaspoon ground cumin 1 teaspoon ground ginger 1 teaspoon ground turmeric ¾ teaspoon ground cinnamon ¾ teaspoon freshly ground black pepper ½ teaspoon ground white pepper ½ teaspoon ground coriander seed ½ teaspoon ground cayenne pepper ½ teaspoon ground allspice ½ teaspoon ground nutmeg ¼ teaspoon ground cloves,39,0,39,https://www.allrecipes.com/thmb/jLkfIf1Xi-qLaF-w8xqqkOkYEGk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3603124-ae808e74f8c84c8a836921d54fb39c90.jpg,https://www.allrecipes.com/recipe/150574/ras-el-hanout/
Slow Cooker Chicken Marrakesh,"2 pounds skinless, boneless chicken breast halves, cut into 2-inch pieces 2 large sweet potatoes, peeled and diced 1 (15 ounce) can garbanzo beans, drained and rinsed 1  onion, sliced 2 large carrots, peeled and diced 2 cloves garlic, minced (Optional) 1 teaspoon dried parsley 1 teaspoon salt ½ teaspoon ground cumin ½ teaspoon ground turmeric ½ teaspoon ground black pepper ¼ teaspoon ground cinnamon 1 (14.5 ounce) can diced tomatoes",53,102,155,https://www.allrecipes.com/thmb/5CMLX-A5jmwCQ-mvAwnz2uewF1w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1129611-09734b255f5b471ead20ae3892140f98.jpg,https://www.allrecipes.com/recipe/218769/slow-cooker-chicken-marrakesh/
Moroccan Shabbat Fish,"1  red bell pepper, cut into thin strips 3  tomatoes, sliced 6 (6 ounce) tilapia fillets 2 tablespoons paprika 1 tablespoon chicken bouillon granules 1 teaspoon cayenne pepper salt and pepper to taste ¼ cup olive oil 1 cup water ¼ cup chopped fresh parsley",59,92,151,https://www.allrecipes.com/thmb/35nRDp0Th17lox0I04JY2WxJFr0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2154853-1a828e66b6884a3faa4f35e63778e2bb.jpg,https://www.allrecipes.com/recipe/213243/moroccan-shabbat-fish/
Moroccan Cooked Pepper Salad,"2  green bell peppers 3 tablespoons olive oil 4  fresh tomatoes, peeled and chopped 2 teaspoons sugar 1 ½ teaspoons paprika 1 teaspoon fresh parsley ½ teaspoon cumin ½ teaspoon salt ¼ teaspoon garlic powder ground black pepper to taste 1 (2.25 ounce) can sliced green olives",32,76,108,https://www.allrecipes.com/thmb/qwmsCvX-9FHAtsR0JJQLMtsuaCE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1112594-ea781f5fffc74afa97af7e976a0b2ba5.jpg,https://www.allrecipes.com/recipe/77364/moroccan-cooked-pepper-salad/
Vegan Moroccan Stew,"1 tablespoon cumin seeds 1 tablespoon coriander seeds 3 tablespoons olive oil 1 cup chopped onion 3 cloves garlic, thinly sliced 3 tablespoons matchstick-sliced ginger 1  lemon, zested and juiced, divided 2 teaspoons salt 1 teaspoon ground black pepper 1 teaspoon ground turmeric ½ teaspoon ground cinnamon ½ teaspoon ground allspice 2 cups vegetable broth 1 (28 ounce) can whole peeled tomatoes, lightly crushed by hand 2 cups cubed peeled carrots 1 large butternut squash, peeled and cut into 1-inch cubes 1 large sweet potato, peeled and cut into 1-inch cubes",82,18,100,https://www.allrecipes.com/thmb/9c7bho1gVMaAzWqopA0UVCVof0s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1118040-d3407f2dff6548f3aab0d00cb4091ba4.jpg,https://www.allrecipes.com/recipe/274739/vegan-moroccan-stew/
21 Top-Rated Moroccan Recipes,,84,101,185,https://www.allrecipes.com/thmb/qLJTc_A5gxefhgfixe-qZ3Wj-ko=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4589920-7167e673eede430c8280df1ab3b9adef.jpg,https://www.allrecipes.com/gallery/moroccan-recipes/
Moroccan Stew with Chicken and Pearl Onions,"1 ½ tablespoons olive oil 2 stalks celery, diced ½ cup chopped onion ½ cup chopped green bell pepper 1 clove garlic, chopped 2 (14 ounce) cans vegetable broth 1 (14.5 ounce) can stewed tomatoes 2  carrots, chopped 4  potatoes, diced 12  pearl onions ½ teaspoon dried thyme leaves salt and ground black pepper to taste 2  cooked chicken breasts, diced ¾ teaspoon red pepper flakes, or more to taste 2 tablespoons red wine vinegar",3,102,105,https://www.allrecipes.com/thmb/LNm3lWqPgAx7upK6iEQaCxNyL8k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2135123-5472207e06104ac0aae7784d8ce365b0.jpg,https://www.allrecipes.com/recipe/236126/moroccan-stew-with-chicken-and-pearl-onions/
Instant Pot Chicken Tagine with Butternut Squash and Spinach,"4 tablespoons extra-virgin olive oil, divided 3 ½ teaspoons kosher salt, divided 2 teaspoons ground cinnamon 2 teaspoons ground cumin 2 teaspoons sweet paprika 1 teaspoon ground coriander ½ teaspoon ground black pepper 1 ½ pounds skinless, boneless chicken thighs, trimmed and cut into 1 1/2-inch pieces 1 large yellow onion, thinly sliced lengthwise 4 cloves garlic, smashed 4 teaspoons finely grated fresh ginger 2 ½ cups water 2 cups peeled and cubed (3/4-inch) butternut squash 1 (14.5 ounce) can diced tomatoes in juice 1 (5 ounce) package baby spinach leaves 3 tablespoons lemon juice 2 teaspoons lemon zest salt and ground black pepper to taste",54,111,165,https://www.allrecipes.com/thmb/zH1tuO6UbcMeLLbseTsLFM9JUPg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ChickenTagineButternutSquashSpinach_018-2000-8ee4004c98784441bdd1d6bde176512f.jpg,https://www.allrecipes.com/recipe/276469/instant-pot-chicken-tagine-with-butternut-squash-and-spinach/
Instant Pot® Apricot Chicken Tagine,"1 tablespoon vegetable oil 1 large onion, finely sliced 1 clove garlic, minced 1 (1 inch) piece fresh ginger, grated 1 tablespoon butter 1 ½ teaspoons ground cinnamon 1 teaspoon ground cumin 1 pound skinless, boneless chicken thighs, cut into large chunks 1 cup chicken broth 1 cup chopped tomatoes 6  fresh apricots, pitted and halved 1 tablespoon honey 3 ½ ounces cooked Israeli couscous (Optional)",37,39,76,https://www.allrecipes.com/thmb/ADrL9gK5xYe9qZRmvg0g0KbIFl4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6742915_Instant-PotR-Apricot-Chicken-Tagine-4x3-1-2000-87b28b8208134e5282025027fe5304dc.jpg,https://www.allrecipes.com/recipe/274339/instant-pot-apricot-chicken-tagine/
Instant Pot Chicken Tagine with Apricots and Chickpeas,"1 tablespoon olive oil 4  skin-on, bone-in chicken thighs 1 large onion, sliced 3 cloves garlic, minced 1 teaspoon ground cinnamon 1 teaspoon ground cumin 1 teaspoon ground ginger 1 teaspoon ground turmeric 1 teaspoon red pepper flakes 1 pinch saffron 1 (15 ounce) can diced tomatoes 1 cup chicken broth ⅓ cup halved dried apricots salt and ground black pepper to taste 1 (15 ounce) can chickpeas, rinsed and drained 2 tablespoons chopped fresh mint",87,68,155,https://www.allrecipes.com/thmb/MENG72UI7lOCxmOG0VlIiOqMe8o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6748315-instant-pot-chicken-tagine-with-apricots-and-chickpeas-Diana71-4x3-1-385e0e311a6a49e6aa65a117f4b83cd1.jpg,https://www.allrecipes.com/recipe/274397/instant-pot-chicken-tagine-with-apricots-and-chickpeas/
